step_frequency,acc_variance,true_stride
1.82120956,0.21889123,0.77078534
1.40138563,0.08440097,0.66767803
1.27806129,0.08473782,0.60874306
1.41563758,0.45612489,0.69480771
1.35580783,0.21975686,0.66425160
1.78164685,0.23974446,0.71084568
1.17007621,0.51741002,0.67402191
1.39511823,0.28673129,0.70923880
1.28314125,0.30218054,0.64264471
1.78699457,0.52444061,0.80686607
1.08018052,0.46810139,0.64409053
1.49414385,0.26547658,0.69354701
1.69562259,0.16986564,0.72842300
1.76067674,0.23801114,0.74429705
1.46114994,0.48517163,0.75486575
1.66111947,0.14151920,0.70587275
1.54017980,0.24943047,0.72002540
1.53597499,0.33334230,0.71758122
1.18979292,0.40239510,0.65238006
1.57375190,0.20074568,0.67170941
1.39041195,0.30851842,0.69482743
1.62142960,0.31835418,0.73039396
1.24346631,0.45528235,0.69861720
1.82204530,0.46251622,0.79159743
1.34548327,0.55601442,0.71497783
1.15949414,0.42356561,0.65945477
1.09545118,0.51209788,0.59558823
1.81176027,0.32953137,0.79083698
1.73553708,0.23015584,0.76130396
1.48560334,0.41706574,0.72309862
1.09265567,0.19292840,0.62656535
1.49710309,0.26661102,0.74074168
1.57491260,0.09092785,0.67437318
1.76442479,0.62365248,0.81123992
1.74251613,0.59873479,0.78251616
1.16865197,0.33712460,0.65033201
1.38968556,0.31595957,0.68349297
1.45934008,0.24462111,0.63624654
1.33638280,0.33694127,0.67416071
1.36330086,0.17463425,0.67502902
1.44096310,0.09120598,0.66841142
1.31120207,0.54476531,0.70789930
1.28536172,0.25211405,0.63746218
1.84841497,0.46111756,0.77610384
1.55389761,0.54014515,0.72558079
1.24848591,0.40557191,0.64327043
1.26359491,0.43259737,0.70816273
1.55735809,0.52918081,0.74563549
1.12925309,0.58168228,0.66094931
1.84823930,0.14999748,0.77166776
1.52109764,0.38164864,0.68881766
1.23999564,0.51222533,0.63359937
1.10357614,0.10750677,0.61476643
1.84223832,0.48085355,0.75901647
1.75527220,0.62083211,0.79070094
1.48644391,0.35143384,0.69705061
1.12325600,0.21931442,0.59758558
1.11761534,0.29219513,0.61599756
1.35083645,0.46845046,0.69121379
1.39046219,0.32937558,0.68700194
1.30818504,0.11491654,0.63840113
1.63172990,0.24370141,0.70993181
1.16861558,0.22093845,0.60038587
1.80340215,0.23716737,0.72453700
1.65881204,0.34884649,0.71805540
1.58599732,0.16726315,0.68577184
1.48843473,0.50671586,0.73682366
1.11653792,0.41074551,0.64176870
1.35295939,0.27283670,0.65044049
1.23772492,0.23306043,0.67759396
1.84318968,0.25736493,0.72387912
1.26955670,0.56973131,0.74238648
1.71556229,0.20266611,0.72615667
1.51320140,0.29170822,0.69017319
1.55110424,0.38034786,0.70908949
1.73529076,0.55967984,0.73505050
1.41303488,0.60535222,0.74365912
1.12215764,0.16951896,0.60661588
1.11232293,0.40650270,0.64780826
1.59194631,0.61435686,0.78682206
1.06181763,0.50754447,0.65245905
1.12402556,0.26240908,0.64288815
1.43610667,0.09188063,0.66831493
1.24349890,0.17561952,0.60087174
1.53541600,0.35187938,0.75162742
1.83867866,0.53535510,0.78036802
1.67423856,0.34337122,0.67896731
1.40641236,0.10501772,0.64886596
1.43564945,0.08046342,0.62596315
1.71670873,0.61318002,0.79604958
1.21864114,0.19345330,0.60834193
1.24996565,0.18661161,0.66804431
1.37576050,0.38024615,0.66919122
1.66157490,0.62645800,0.78269990
1.36584158,0.46277879,0.69444146
1.64190823,0.50695311,0.74806986
1.82864739,0.16270920,0.73488155
1.40151327,0.39585468,0.70635164
1.62779414,0.40439261,0.73142649
1.15446431,0.22893667,0.61564450
1.41173837,0.12231272,0.70355013
1.47899562,0.41244193,0.74306348
1.35159703,0.43375377,0.72906416
1.38859471,0.14310922,0.66695567
1.30283355,0.51991159,0.68586236
1.15730381,0.23217201,0.60165315
